Crop,Region,Acreage,CropDays,Temperature,SoilMoisture,Humidity,Evapotranspiration,CropCoefficient,WaterRequirement
Maize,Temperate,1.33,151,34.0,14.7,30.9,5.42,0.98,28589.0
Wheat,Semi-Arid,3.69,101,25.8,31.7,85.7,4.86,0.86,62414.0
Wheat,Temperate,3.25,168,29.4,28.4,29.8,5.41,0.86,61192.0
Maize,Tropical,2.22,143,32.0,35.8,67.6,4.63,0.96,39932.0
Wheat,Temperate,4.14,88,25.2,16.9,36.9,5.72,0.9,86250.0
Maize,Semi-Arid,2.26,129,34.9,19.4,56.4,5.64,0.92,47456.0
Wheat,Temperate,3.99,113,30.9,37.8,70.9,4.68,0.9,68011.0
Maize,Semi-Arid,4.83,164,30.8,18.1,78.0,6.43,0.95,119399.0
Wheat,Temperate,4.11,144,25.2,22.7,47.6,6.13,0.81,82586.0
Wheat,Tropical,4.06,84,38.9,29.5,84.0,5.75,0.87,82192.0
Paddy,Temperate,2.17,141,29.9,31.9,64.6,5.62,1.01,49847.0
Maize,Temperate,3.71,80,35.8,17.1,37.9,5.55,0.91,75827.0
Maize,Semi-Arid,2.48,130,25.5,29.1,42.0,4.78,0.91,43656.0
Maize,Semi-Arid,3.9,115,39.1,28.0,68.6,5.75,0.94,85306.0
Paddy,Semi-Arid,4.42,107,28.3,22.5,81.8,4.74,1.06,89872.0
Wheat,Temperate,1.0,106,31.4,34.5,80.3,4.83,0.83,16223.0
Maize,Tropical,1.5,130,29.0,17.3,31.8,5.31,0.94,30299.0
Paddy,Tropical,4.83,118,32.5,19.0,39.9,5.03,1.1,108150.0
Paddy,Tropical,0.73,180,30.2,29.0,67.6,5.48,1.05,16999.0
Paddy,Tropical,3.52,154,30.5,17.3,76.2,5.76,1.02,83692.0
Paddy,Tropical,4.17,95,37.5,19.6,33.1,6.22,1.04,109164.0
Maize,Temperate,3.7,98,30.2,12.9,85.8,6.37,0.92,87750.0
Wheat,Semi-Arid,3.81,129,38.9,36.3,38.1,6.46,0.87,86655.0
Wheat,Tropical,0.92,91,33.4,36.5,33.2,5.2,0.82,15875.0
Maize,Semi-Arid,2.32,112,34.6,12.5,31.3,5.84,0.99,54282.0
Paddy,Semi-Arid,0.96,178,39.6,18.5,41.4,5.88,1.0,22844.0
Wheat,Temperate,3.7,112,32.4,15.4,45.7,5.94,0.82,72932.0
Wheat,Tropical,2.79,165,29.0,17.3,88.1,5.47,0.85,52496.0
Maize,Tropical,2.08,176,33.7,24.8,33.7,5.5,0.94,43518.0
Maize,Temperate,0.7,123,39.1,38.6,84.0,6.0,0.98,16657.0
Wheat,Tropical,2.43,132,33.6,39.4,25.3,5.27,0.89,46124.0
Maize,Semi-Arid,2.68,97,33.4,38.1,68.7,4.69,0.93,47305.0
Maize,Tropical,1.13,106,29.4,19.7,79.4,5.9,1.0,26980.0
Maize,Temperate,4.14,178,28.8,28.3,25.7,5.5,0.93,85697.0
Wheat,Semi-Arid,0.82,95,25.8,36.6,21.9,4.69,0.82,12762.0
Maize,Semi-Arid,1.98,137,33.1,18.6,61.4,5.0,0.97,38862.0
Paddy,Tropical,2.12,139,29.9,34.8,39.0,5.41,1.08,50127.0
Paddy,Semi-Arid,2.89,126,35.5,14.2,29.3,5.53,1.01,65322.0
Paddy,Tropical,2.29,98,31.6,12.4,21.8,4.66,1.0,43186.0
Maize,Semi-Arid,2.34,137,38.7,23.3,36.8,5.93,0.97,54470.0
Wheat,Semi-Arid,4.8,143,33.3,28.4,49.4,5.21,0.83,83999.0
Wheat,Tropical,2.04,171,25.7,11.2,79.9,5.45,0.81,36444.0
Paddy,Semi-Arid,4.13,179,27.6,23.0,47.9,6.4,1.08,115524.0
Paddy,Temperate,0.57,98,32.5,35.7,66.1,6.39,1.03,15182.0
Maize,Tropical,3.55,114,34.6,23.7,58.2,5.75,0.98,80954.0
Wheat,Tropical,4.57,123,29.1,16.4,46.4,4.69,0.9,78064.0
Maize,Tropical,3.45,172,37.7,10.7,77.0,5.49,0.93,71284.0
Paddy,Semi-Arid,3.33,108,25.6,22.5,87.7,5.35,1.07,77144.0
Maize,Tropical,2.36,161,28.8,27.4,80.7,4.98,1.0,47562.0
Maize,Semi-Arid,3.9,109,38.5,25.2,77.9,5.1,0.98,78882.0
Maize,Temperate,0.55,98,26.4,19.6,86.5,5.49,0.94,11486.0
Wheat,Tropical,3.21,131,35.1,32.6,75.4,4.73,0.81,49770.0
Wheat,Temperate,0.76,174,25.8,32.1,58.2,4.73,0.85,12366.0
Wheat,Temperate,3.28,86,31.4,16.7,47.8,5.91,0.88,69034.0
Wheat,Temperate,1.55,87,30.6,21.1,76.9,6.32,0.85,33697.0
Wheat,Semi-Arid,2.19,110,32.2,21.3,69.4,6.31,0.88,49212.0
Maize,Temperate,1.64,171,33.6,32.2,73.7,5.8,0.94,36184.0
Wheat,Tropical,1.57,142,32.2,12.5,57.0,6.43,0.87,35543.0
Wheat,Temperate,0.69,100,25.7,37.7,84.3,5.89,0.9,14802.0
Wheat,Temperate,3.33,93,29.4,39.9,68.8,6.3,0.85,72164.0
Wheat,Semi-Arid,4.81,95,38.4,23.7,63.4,4.88,0.89,84542.0
Paddy,Semi-Arid,1.53,107,26.2,39.2,89.0,4.56,1.04,29363.0
Wheat,Semi-Arid,4.16,171,29.1,14.0,25.3,6.4,0.83,89427.0
Wheat,Tropical,2.38,135,38.1,26.5,31.5,6.06,0.86,50196.0
Paddy,Tropical,1.18,164,36.2,21.8,78.0,6.18,1.1,32462.0
Paddy,Temperate,1.1,100,25.8,35.9,76.9,6.0,1.0,26709.0
Maize,Tropical,3.96,116,36.4,21.3,36.9,4.76,0.96,73230.0
Maize,Temperate,1.43,144,35.1,28.5,45.1,5.84,0.93,31430.0
Paddy,Semi-Arid,4.24,129,37.8,26.6,59.3,6.08,1.05,109541.0
Wheat,Temperate,0.63,158,36.8,29.2,76.4,4.77,0.81,9851.0
Paddy,Tropical,3.15,109,33.3,12.7,70.8,5.53,1.04,73314.0
Maize,Tropical,3.3,130,35.5,33.9,52.2,5.48,0.94,68792.0
Wheat,Temperate,2.72,156,28.1,27.4,43.9,4.76,0.9,47156.0
Maize,Temperate,2.3,95,34.6,15.5,44.2,6.25,0.96,55847.0
Maize,Tropical,1.28,130,25.6,15.1,39.5,4.56,0.97,22912.0
Paddy,Temperate,2.57,169,38.4,13.9,43.1,4.58,1.01,48110.0
Wheat,Semi-Arid,3.6,135,38.1,37.6,24.3,6.24,0.85,77272.0
Wheat,Temperate,4.94,126,30.6,24.5,63.3,5.56,0.86,95591.0
Paddy,Temperate,0.67,135,27.0,30.6,79.1,5.56,1.07,16131.0
Wheat,Temperate,2.09,94,26.6,32.1,32.8,5.14,0.89,38692.0
Maize,Temperate,2.91,104,38.4,27.8,67.5,5.8,0.91,62156.0
Paddy,Semi-Arid,2.92,113,33.4,27.6,59.5,5.07,1.01,60510.0
Paddy,Tropical,3.23,138,30.3,39.6,62.4,4.52,1.09,64400.0
Wheat,Temperate,1.61,83,37.8,12.6,76.4,6.18,0.82,33018.0
Maize,Temperate,2.35,115,40.0,36.9,60.3,6.23,0.95,56286.0
Paddy,Semi-Arid,2.71,130,37.3,31.6,57.5,5.06,1.1,61042.0
Wheat,Tropical,1.96,98,28.0,32.1,57.1,5.72,0.82,37204.0
Paddy,Semi-Arid,1.19,179,29.8,27.8,45.8,5.6,1.06,28586.0
Paddy,Tropical,1.95,81,26.3,14.2,20.2,5.69,1.1,49392.0
Paddy,Tropical,2.07,128,37.8,32.4,48.6,5.96,1.04,51924.0
Wheat,Temperate,2.21,80,36.1,27.2,78.9,6.09,0.82,44662.0
Paddy,Tropical,4.21,116,37.2,30.0,56.6,6.25,1.08,115002.0
Wheat,Temperate,2.53,93,38.5,28.7,57.8,5.51,0.87,49081.0
Wheat,Temperate,2.26,145,33.2,37.2,63.7,5.36,0.84,41179.0
Maize,Semi-Arid,2.01,143,27.5,36.4,54.7,6.29,0.96,49117.0
Wheat,Semi-Arid,1.9,180,36.7,14.3,34.3,6.02,0.82,37956.0
Maize,Temperate,0.96,92,26.7,35.4,28.9,6.09,0.98,23186.0
Wheat,Semi-Arid,2.34,124,35.8,29.2,68.6,5.0,0.85,40246.0
Wheat,Temperate,4.82,117,28.4,22.7,40.2,4.81,0.88,82564.0
Wheat,Tropical,0.95,176,25.3,36.2,85.2,6.34,0.81,19743.0
Maize,Semi-Arid,3.09,88,31.4,32.1,85.4,6.32,0.92,72708.0
Wheat,Temperate,4.93,115,26.9,37.6,80.9,4.95,0.81,79994.0
Maize,Temperate,0.75,88,28.1,33.6,62.3,5.3,0.94,15121.0
Wheat,Temperate,4.65,86,30.2,32.1,51.7,4.57,0.89,76538.0
Maize,Tropical,1.29,150,27.5,11.0,41.8,5.66,0.91,26888.0
Paddy,Semi-Arid,1.46,128,27.7,38.8,30.4,6.22,1.02,37485.0
Maize,Temperate,2.76,80,29.6,21.9,49.9,5.2,1.0,58081.0
Paddy,Temperate,0.66,109,37.5,27.6,40.6,5.41,1.02,14739.0
Paddy,Tropical,2.66,173,33.4,14.7,32.7,4.65,1.05,52558.0
Maize,Semi-Arid,1.72,113,31.1,10.8,30.9,6.23,0.94,40763.0
Wheat,Temperate,1.64,166,35.1,10.6,27.3,5.64,0.86,32191.0
Maize,Semi-Arid,1.57,113,37.1,39.7,62.2,6.16,0.97,37964.0
Wheat,Temperate,2.33,134,38.4,10.4,26.0,6.2,0.81,47353.0
Wheat,Semi-Arid,3.39,161,38.4,34.5,43.9,6.15,0.89,75090.0
Maize,Tropical,1.71,84,30.2,33.2,45.4,5.09,0.96,33815.0
Paddy,Tropical,1.13,153,33.5,39.6,53.0,5.47,1.08,27015.0
Wheat,Semi-Arid,2.94,104,28.9,14.2,78.4,5.55,0.83,54807.0
Wheat,Semi-Arid,3.57,149,38.7,13.5,60.4,4.63,0.87,58195.0
Wheat,Temperate,4.23,166,26.6,14.2,38.5,6.25,0.87,93080.0
Paddy,Semi-Arid,3.49,150,33.6,35.1,48.3,5.54,1.06,82939.0
Paddy,Temperate,3.82,130,26.4,33.1,24.8,5.08,1.02,80102.0
Wheat,Tropical,3.25,133,32.1,29.9,85.6,5.47,0.87,62590.0
Paddy,Temperate,1.68,178,37.6,35.4,86.9,5.17,1.0,35149.0
Paddy,Semi-Arid,2.05,119,35.9,24.9,68.2,5.42,1.05,47213.0
Maize,Tropical,4.1,123,39.5,10.2,27.2,4.68,0.98,76098.0
Maize,Temperate,4.06,136,31.7,15.6,57.9,5.96,1.0,97924.0
Wheat,Temperate,3.76,159,37.7,17.5,54.3,5.89,0.88,78869.0
Wheat,Semi-Arid,0.68,89,33.8,40.0,58.9,6.33,0.89,15503.0
Paddy,Temperate,3.79,127,26.7,22.7,75.7,6.22,1.01,96354.0
Maize,Tropical,2.85,96,34.8,20.9,59.2,4.65,0.95,50949.0
Wheat,Tropical,2.48,166,26.0,19.5,57.8,5.82,0.85,49649.0
Wheat,Semi-Arid,4.49,121,38.1,22.5,52.3,4.54,0.86,70945.0
Maize,Semi-Arid,2.23,175,37.0,39.9,44.5,4.68,0.92,38856.0
Paddy,Temperate,3.32,135,29.1,21.9,26.4,5.34,1.05,75333.0
Wheat,Semi-Arid,0.52,124,30.3,18.6,40.7,5.68,0.87,10399.0
Wheat,Semi-Arid,0.7,94,30.8,30.4,35.3,6.1,0.89,15379.0
Wheat,Semi-Arid,2.38,135,38.3,28.0,83.3,4.83,0.81,37681.0
Maize,Semi-Arid,4.27,133,34.1,25.4,36.1,5.27,0.94,85602.0
Wheat,Tropical,4.01,85,37.0,28.9,35.1,6.36,0.82,84632.0
Paddy,Temperate,1.67,114,36.4,30.9,30.8,4.95,1.05,35126.0
Wheat,Temperate,3.17,93,37.9,23.7,47.4,4.76,0.85,51904.0
Wheat,Temperate,4.33,121,37.1,29.7,58.6,5.06,0.8,70933.0
Maize,Tropical,3.63,127,32.4,12.4,35.4,6.29,0.9,83161.0
Wheat,Semi-Arid,2.73,175,32.7,37.2,60.0,5.59,0.89,54965.0
